title,author,blurb,isbn,call_number,cover_filename
This Time Is Different,"Carmen M. Reinhart, Kenneth S. Rogoff","Throughout history, rich and poor countries alike have been lending, borrowing, crashing--and recovering--their way through an extraordinary range of financial crises. Each time, the experts have chimed, ""this time is different""--claiming that the old rules of valuation no longer apply and that the new situation bears little similarity to past disasters. With this breakthrough study, leading economists Carmen Reinhart and Kenneth Rogoff definitively prove them wrong. Covering sixty-six countries across five continents, This Time Is Different presents a comprehensive look at the varieties of...",9780691152646,,This Time Is Different_116.jpg
Dante the Maker,William Anderson,"First published in 1980, Dante the Maker examines the great Italian poet’s creative processes and presents a wider perspective on Dante. Divided into three major parts, it discusses themes like the making of a poet; power exile and the works of Dante’s middle years; and the making of the Commedia. The book allows Anderson to explore the relevant political backgrounds, historical context, aesthetic, philosophical and even scientific currents- and the events of Dante’s own life - and finally to give his own judgement on how these diverse forces impinged on the poet’s creative processes. This ...",9781040358566,,Dante the Maker_117.jpg
The Entrepreneurial Imperative,"Carl J. Schramm, PhD","In 2004, Carl Schramm, president of the Kauffman Foundation, the world's leading foundation for entrepreneurship, published a groundbreaking essay with a radical premise: that Americans literally have no conception of the secret that truly underlies our economic success, and that for the United States to survive and continue to lead the world's economy, it is imperative we learn to understand and employ that secret. The secret that has led the American economy to become the world's strongest? Our unparalleled skill as entrepreneurs. As Schramm compellingly shows in this sweeping manifesto, ...",9780062276193,,The Entrepreneurial Imperative_118.jpg
Being Human in a Consumer Society,Alejandro Néstor García Martínez,"This book offers a new perspective on sociological studies of the consumer society, introducing neglected normative questions relating to the good life and human flourishing - subjects more commonly discussed in fields of moral, political, and social philosophy. With attention to a wide range of subjects, including postemotional law and responsibility, dehumanised consumption and prosumerism, fashion, embodiment, conspicuous consumption, and sustainability, this book analyzes the structural and cultural transformations that can be identified in consumer society. It also offers a critical - ...",9781317175414,,Being Human in a Consumer Society_119.jpg
Alfred Gwynne Vanderbilt,"Steven H. Gittelman, Emily Gittelman","At a young age, Alfred Vanderbilt inherited a massive fortune of $40 million and control of the Vanderbilt railroading empire. With no interest in business matters, the youth squandered his wealth on horses and women on two continents. None of the Vanderbilts gave as much fuel for gossip to the curious public as Alfred. By the time the extravagant playboy boarded the Lusitania on May 7, 1915, he was the subject of numerous scandals, including the suicide of four different women. But as the ship went down, he spent the last minutes of his life rescuing women and children and forgoing his own...",9780761855071,,Alfred Gwynne Vanderbilt_121.jpg
The Affluent Society,John Kenneth Galbraith,On the economics of abundance,0395925002,,The Affluent Society_122.jpg
The Zeroes,Randall Lane,"What Liar's Poker was to the 1980s, The Zeroes is to the first decade of the new century: an insider's memoir of a gilded era when Wall Street went insane-and took the rest of us down with it. Randall Lane never set out to become a Wall Street power broker. But during the decade he calls the Zeroes, he started a small magazine company that put him near the white-hot center of the biggest boom in history. Almost by accident, a man who drove a beat-up Subaru and lived in a rented walk-up became the go-to guy for big shots with nine-figure incomes. Lane's saga began with a simple idea: a gloss...",9781101549834,,The Zeroes_124.jpg
Michael Lewis Box Set - Liar's Poker; Pacific Rift; Money Culture; TheNew New Thing (India Only),Michael Lewis,No description available.,1444768166,,Michael Lewis Box Set - Liars Poker Pacific Rift M_125.jpg
Innovation—The Missing Dimension,"Richard K. Lester, Michael J. Piore","Amid mounting concern over job loss to low-wage economies, one fact is clear: America’s prosperity hinges on the ability of its businesses to continually innovate. But what makes for a creative economy? For an answer, the authors examine innovation strategies in such dynamic economic sectors as cell phones, medical devices, and blue jeans.",9780674040106,,InnovationThe Missing Dimension_126.jpg
China's Rise in Historical Perspective,Brantly Womack,"China, with its geographical, historical, cultural, and political distance from the West, long has been a black box upon which we readily paste labels—communist, non-Western, developing country—but whose internal logic remains a mystery to us. Arguing that it would be a major step forward in our genuine knowledge of China if we understood its internal dynamic, this innovative book considers China from a historical perspective to chart its current dynamic and future direction. Renowned historians, economists, and political scientists explore the internal dynamic of China's rise since traditi...",9780742567238,,Chinas Rise in Historical Perspective_127.jpg
The Selected Letters of John Kenneth Galbraith,Richard P. F. Holt,"The Selected Letters of John Kenneth Galbraith invites readers to join in conversations with presidents and first ladies, diplomats and schoolchildren, the McCarthy 'loyalty board', foreign heads of state and fellow economists, and a host of other correspondents. In his long and cosmopolitan life, Galbraith wrote thousands of letters, and Richard P. F. Holt has selected the most important of these from his archival research, now available in print for the first time. The letters provide an intimate account of the three main political goals to which Galbraith devoted his professional life: e...",9781108161619,,The Selected Letters of John Kenneth Galbraith_128.jpg
Sonic Boom,Gregg Easterbrook,"What can a spell-checker tell you about economic trends? Why is the world’s supply of ideas about to double? What did America get right in the nineteenth century that it’s getting wrong in the twenty-first? If Karl Marx were alive today, would he be hosting a show on Fox News? These are just a few of the provocative questions asked by Sonic Boom, a (mainly) optimistic look at the near future. Sonic Boom tells why the world’s economy is likely to be just fine, with prosperity increasing; why globalization will soon drive us even crazier than it does today; why “a chaotic, raucous, unpredicta...",9780812974133,,Sonic Boom_129.jpg
The Rise and Fall of Neoliberal Rentier Capitalism,Luiz Carlos Bresser-Pereira,"The Rise and Fall of Neoliberal Rentier Capitalism is an account of the political economy of capitalism in the 20th and 21st centuries. Capitalism is an unjust form of economic organisation; it is a culture of exacerbated individualism justified by the glorification of individual competition. Today, after 40 years of neoliberalism, capitalism faces again a legitimation crisis. The book discusses capitalism after two revolutions - the Organisational Revolution and the Democratic Revolution. It views capitalism since the New Deal in the US and the post-war as a progressive and developmental e...",9780198898160,,The Rise and Fall of Neoliberal Rentier Capitalism_130.jpg
This Changes Everything,Naomi Klein,"Explains why the environmental crisis should lead to an abandonment of ""free market"" ideologies and current political systems, arguing that a massive reduction of greenhouse emissions may offer a best chance for correcting problems.",9781451697391,,This Changes Everything_131.jpg
The Medici Effect,Frans Johansson,"Originally published as: The Medici effect: breakthrough insights at the intersection of ideas, concepts, and cultures. Boston, Massachusetts: Harvard Business School Press, A2004.",1633692922,,The Medici Effect_132.jpg
The Medici Effect,Frans Johansson,"Originally published as: The Medici effect: breakthrough insights at the intersection of ideas, concepts, and cultures. Boston, Massachusetts: Harvard Business School Press, A2004.",1633692922,,The Medici Effect_133.jpg
The Plundered Planet,Paul Collier,"Paul Collier's The Bottom Billion was greeted as groundbreaking when it appeared in 2007, winning the Estoril Distinguished Book Prize, the Arthur Ross Book Award, and the Lionel Gelber Prize. Now, in The Plundered Planet, Collier builds upon his renowned work on developing countries and the world's poorest populations to confront the global mismanagement of natural resources. Proper stewardship of natural assets and liabilities is a matter of planetary urgency: natural resources have the potential either to transform the poorest countries or to tear them apart, while the carbon emissions a...",9780199750863,,The Plundered Planet_134.jpg
The Big Thirst,Charles Fishman,Fishmen examines the passing of the golden age of water and reveals the shocking facts about how water scarcity will soon be a major factor.,9781439102084,,The Big Thirst_135.jpg
The Selling of the American Economy,Micheline Maynard,"Today, many Americans regard globalization as a significant threat to our work force, and to our very way of life. As unemployment soars, the American automotive and manufacturing industries crumble, countless jobs continue to ship overseas, and the retail sector faces the worst slump in decades, cries of “Buy American” have grown louder and louder - in our communities, in the headlines, and in the halls of Washington. But at a time when an Italian company has bailed out one of our oldest and most iconic automakers; a French-German consortium is closing in on a multibillion dollar military ...",9780307589439,,The Selling of the American Economy_136.jpg
IT (Information Technology) Portfolio Management Step-by-Step,"Bryan Maizlish, Robert Handler","Praise for IT Portfolio Management Step-by-Step ""Bryan Maizlish and Robert Handler bring their deep experience in IT 'value realization' to one of the most absent of all IT management practices--portfolio management. They capture the essence of universally proven investment practices and apply them to the most difficult of challenges--returning high strategic and dollar payoffs from an enterprise's IT department. The reader will find many new and rewarding insights to making their IT investments finally return market leading results."" --John C. Reece, Chairman and CEO, John C. Reece & Assoc...",9780471649847,,IT Information Technology Portfolio Management Ste_137.jpg
Open Innovation,Henry William Chesbrough,"This work provides a new paradigm for managing corporate research and bringing new technologies to market. It includes four case studies (Xerox-PARC), IBM, Intel, and Lucent) showing the open innovation paradigm in all its potential, and risk.",1578518377,,Open Innovation_138.jpg
The Map of Innovation,"Kevin O'Connor, Paul B. Brown","How did Kevin O’Connor help create DoubleClick, the innovative marketing technology company...two software companies...dozens of products...and now the “disappearing” DVD, a product that will turn the home video market on its head? Sheer brilliance? While O’Connor is very smart indeed, he credits his success to applying Thomas Edison’s famous saying that “genius is one percent inspiration and ninety-nine percent perspiration.” In other words, the breakthrough product or service that is the result of sheer genius alone is the exception. Great ideas that form the basis of new companies or tha...",9781400050543,,The Map of Innovation_139.jpg
The Map of Innovation,"Kevin O'Connor, Paul B. Brown","How did Kevin O’Connor help create DoubleClick, the innovative marketing technology company...two software companies...dozens of products...and now the “disappearing” DVD, a product that will turn the home video market on its head? Sheer brilliance? While O’Connor is very smart indeed, he credits his success to applying Thomas Edison’s famous saying that “genius is one percent inspiration and ninety-nine percent perspiration.” In other words, the breakthrough product or service that is the result of sheer genius alone is the exception. Great ideas that form the basis of new companies or tha...",9781400050543,,The Map of Innovation_140.jpg
The Pleasures and Sorrows of Work,Alain De Botton,"We spend most of our waking lives at work—in occupations most often chosen by our inexperienced younger selves. And yet we rarely ask ourselves how we got there or what our jobs mean to us. The Pleasures and Sorrows of Work is an exploration of the joys and perils of the modern workplace, beautifully exploring what other people wake up to do each day—and night—to make our frenzied world function. With a philosophical eye and his signature combination of wit and wisdom, Alain de Botton leads us on a journey around an eclectic range of occupations, from rocket scientist to biscuit manufacture...",9780307378309,,The Pleasures and Sorrows of Work_141.jpg
Research Frontiers in Industrial Relations and Human Resources,"David Lewin, Olivia S. Mitchell, Peter D. Sherer","Comprises 16 chapters subsumed under four major subject areas: unions, collective bargaining and dispute resolution; human resources management; labour market research; and the regulation of labour- management relations",0913447536,,Research Frontiers in Industrial Relations and Hum_142.jpg
The Innovator's Solution,"Clayton, Michael","An innovation classic. From Steve Jobs to Jeff Bezos, Clay Christensen’s work continues to underpin today’s most innovative leaders and organizations. A seminal work on disruption—for everyone confronting the growth paradox. For readers of the bestselling The Innovator’s Dilemma—and beyond—this definitive work will help anyone trying to transform their business right now. In The Innovator’s Solution, Clayton Christensen and Michael Raynor expand on the idea of disruption, explaining how companies can and should become disruptors themselves. This classic work shows just how timely and releva...",9781422196588,,The Innovators Solution_143.jpg
Creative Confidence,"Tom Kelley, David Kelley","IDEO founder and Stanford d.school creator David Kelley and his brother Tom Kelley, IDEO partner and the author of the bestselling The Art of Innovation, have written a powerful and compelling book on unleashing the creativity that lies within each and every one of us. Too often, companies and individuals assume that creativity and innovation are the domain of the ""creative types."" But two of the leading experts in innovation, design, and creativity on the planet show us that each and every one of us is creative. In an incredibly entertaining and inspiring narrative that draws on countless ...",9780385349369,,Creative Confidence_144.jpg
American Book Publishing Record,"Babcock, Linda, 1961-",No description available.,,,American Book Publishing Record_147.jpg
The Power of Pull,"John Hagel III, John Seely Brown, Lang Davison","In a radical break with the past, information now flows like water, and we must learn how to tap into its stream. Individuals and companies can no longer rely on the stocks of knowledge that they've carefully built up and stored away. Information now flows like water, and we must learn how to tap into the stream. But many of us remain stuck in old practices -- practices that could undermine us as we search for success and meaning. In this revolutionary book, three doyens of the Internet age, whose path-breaking work has made headlines around the world, reveal the adjustments we must make if...",9780465021130,,The Power of Pull_148.jpg
Immunity Change: How Overcome Unlock Phb,"Robert Kegan, Lisa Lahey","""In Immunity to Change, authors Robert Kegan and Lisa Lahey show how our individual beliefs--along with the collective mind-sets in our organizations--combine to create a natural but powerful immunity to change. By revealing how this mechanism holds us back, Kegan and Lahey give us the keys to unlock our potential and finally move forward. And by pinpointing and uprooting our own immunities to change, we can bring our organizations forward with us.""--]cPublisher marketing.",1422117367,,Immunity Change How Overcome Unlock Phb_150.jpg
Toward Responsible Innovation: Responsibility And Philosophy For A Humanely Sustainable Future,Xavier Pavie,"For fifty years, innovations have taken on a new dimension: the Internet, DNA sequencing, genomic manipulations, advances in transhumanism, nanotechnologies ... and much more. These recent innovations are not without addressing new issues whose consequences are as important as irreversible. The innovator, of whom Steve Jobs and Mark Zuckerberg are emblematic contemporary figures, appears as a personality as brilliant as he is destructive, who aspires to change the world regardless of the violence that may ensue. With this then, emerges the need to establish responsible innovation, in which ...",9789811243240,,Toward Responsible Innovation Responsibility And P_151.jpg
"Women, Work, and the Art of Savoir Faire",Mireille Guiliano,"This is a book about life, how to make the most of it, how to find your balance when you are working long days and trying to be happy and fulfilled. Mireille Guiliano has written the kind of book she wishes she had been given when starting out in the business world and had at hand along the way.She draws on her own experiences at the forefront of women in business to offer lessons, stories, helpful hints - and even recipes! - that can make the working world a happier and more satisfying part of a well-balanced life. Mireille talks about style, communication skills, risk taking, leadership, ...",9781847378460,,Women Work and the Art of Savoir Faire_152.jpg
Lean In,Sheryl Sandberg,"#1 INTERNATIONAL BESTSELLER • “A landmark manifesto"" (The New York Times) that's a revelatory, inspiring call to action and a blueprint for individual growth that will empower women around the world to achieve their full potential. In her famed TED talk, Sheryl Sandberg described how women unintentionally hold themselves back in their careers. Her talk, which has been viewed more than eleven million times, encouraged women to “sit at the table,” seek challenges, take risks, and pursue their goals with gusto. Lean In continues that conversation, combining personal anecdotes, hard data, and c...",9780385349949,,Lean In_153.jpg
Practical Risk Management,"Erik Banks, Richard Dunn","A proven way to manage risk in today's business world Understanding how the risk process works is a critical concept that business professionals must come to learn. For those who must understand the fundamentals of risk management quickly, without getting caught up in jargon, theory, mathematics, and formulas, Practical Risk Management is the perfect read. Written in a clear, fast-paced and easily digestible style, this book explains the practical challenges associated with risk management and how-by focusing on accountability, governance, risk appetite, liquidity, client risks, automated a...",9780470869369,,Practical Risk Management_154.jpg
Against the Gods,Peter L. Bernstein,"A Business Week, New York Times Business, and USA Today Bestseller ""Ambitious and readable . . . an engaging introduction to the oddsmakers, whom Bernstein regards as true humanists helping to release mankind from the choke holds of superstition and fatalism."" —The New York Times ""An extraordinarily entertaining and informative book."" —The Wall Street Journal ""A lively panoramic book . . . Against the Gods sets up an ambitious premise and then delivers on it."" —Business Week ""Deserves to be, and surely will be, widely read."" —The Economist ""[A] challenging book, one that may change forever ...",9780471121046,,Against the Gods_155.jpg
Against the Gods,Peter L. Bernstein,"A Business Week, New York Times Business, and USA Today Bestseller ""Ambitious and readable . . . an engaging introduction to the oddsmakers, whom Bernstein regards as true humanists helping to release mankind from the choke holds of superstition and fatalism."" —The New York Times ""An extraordinarily entertaining and informative book."" —The Wall Street Journal ""A lively panoramic book . . . Against the Gods sets up an ambitious premise and then delivers on it."" —Business Week ""Deserves to be, and surely will be, widely read."" —The Economist ""[A] challenging book, one that may change forever ...",9780471121046,,Against the Gods_156.jpg
Leading the Virtual Workforce,Karen Sobel Lojeski,"LEADING THE VIRTUAL WORKFORCE World markets are unsteady, unemployment is on the rise, housing foreclosures are up, asset values are down, and the political landscape is shifting. Under such tumultuous conditions, people often look to leaders to soothe battered nerves. But in today's rough and tumble environment, there are reportedly few leaders the average person relies upon. Over 80 percent of Americans believe that we are in the midst of a major leadership crisis. And over 75 percent of executives from around the world are seriously concerned about whether businesses can develop good lea...",9780470561898,,Leading the Virtual Workforce_158.jpg
Leading the Virtual Workforce,Karen Sobel Lojeski,"LEADING THE VIRTUAL WORKFORCE World markets are unsteady, unemployment is on the rise, housing foreclosures are up, asset values are down, and the political landscape is shifting. Under such tumultuous conditions, people often look to leaders to soothe battered nerves. But in today's rough and tumble environment, there are reportedly few leaders the average person relies upon. Over 80 percent of Americans believe that we are in the midst of a major leadership crisis. And over 75 percent of executives from around the world are seriously concerned about whether businesses can develop good lea...",9780470561898,,Leading the Virtual Workforce_159.jpg
Virtual Team Success,"Richard Lepsinger, Darleen DeRosa","In today’s complex organizations it is not uncommon to have as many as 50 percent of employees working on virtual teams. As the “virtual revolution” continues to spread, how can companies ensure that virtual team collaboration is producing the desired results? Highly practical and easy to navigate, Virtual Team Success leverages the authors’ robust global research study and hands-on experience to provide an immediately usable resource for virtual team members and team leaders. This groundbreaking book is a hands-on, practical toolkit filled with down-to-earth examples and insights that can ...",9780470532966,,Virtual Team Success_160.jpg
Succeeding in Project-Driven Organizations,Knutson,No description available.,0471216992,,
Reinventing Project Management,"Aaron J. Shenhar, Dov Dvir","Projects are the engines that drive innovation from idea to commercialization. In fact, the number of projects in most organizations today is expanding while operations is shrinking. Yet, since many companies still focus on operational excellence and efficiency, most projects fail--largely because conventional project management concepts cannot adapt to a dynamic business environment. Moreover, top managers neglect their company's project activity, and line managers treat all their projects alike--as part of operations. Based on an unprecedented study of more than 600 projects in a variety ...",9781591398004,,Reinventing Project Management_162.jpg
Reinventing Project Management,"Aaron J. Shenhar, Dov Dvir","Projects are the engines that drive innovation from idea to commercialization. In fact, the number of projects in most organizations today is expanding while operations is shrinking. Yet, since many companies still focus on operational excellence and efficiency, most projects fail--largely because conventional project management concepts cannot adapt to a dynamic business environment. Moreover, top managers neglect their company's project activity, and line managers treat all their projects alike--as part of operations. Based on an unprecedented study of more than 600 projects in a variety ...",9781591398004,,Reinventing Project Management_163.jpg
Moral Gray Zones,Michel Anteby,"Anyone who has been employed by an organization knows not every official workplace regulation must be followed. When management consistently overlooks such breaches, spaces emerge in which both workers and supervisors engage in officially prohibited, yet tolerated practices--gray zones. When discovered, these transgressions often provoke disapproval; when company materials are diverted in the process, these breaches are quickly labeled theft. Yet, why do gray zones persist and why are they unlikely to disappear? In Moral Gray Zones, Michel Anteby shows how these spaces function as regulatin...",9781400828883,,Moral Gray Zones_165.jpg
Fight Like Hell,Kim Kelly,Prologue -- The trailblazers -- The garment workers -- The mill workers -- The revolutionaries -- The miners -- The harvesters -- The cleaners -- The freedom fighters -- The movers -- The metalworkers -- The disabled workers -- The sex workers -- The prisoners -- Epilogue.,9781982171056,,Fight Like Hell_166.jpg
The World According to Monsanto,Marie-Monique Robin,"The result of a remarkable three-year-long investigation that took award-winning journalist and documentary filmmaker Marie-Monique Robin across four continents (North and South America, Europe, and Asia), The World According to Monsanto tells the little-known yet shocking story of this agribusiness giant - the world's leading producer of GMOs (genetically modified organisms) - and how its new ''green'' face is no less malign than its PCB- and Agent Orange-soaked past.Robin reports that, following its long history of manufacturing hazardous chemicals and lethal herbicides, Monsanto is now m...",9781459617742,,The World According to Monsanto_167.jpg
The Quest,Daniel Yergin,"“A sprawling story richly textured with original material, quirky details and amusing anecdotes . . .” —Wall Street Journal “It is a cause for celebration that Yergin has returned with his perspective on a very different landscape . . . [I]t is impossible to think of a better introduction to the essentials of energy in the 21st century. The Quest is . . . the definitive guide to how we got here.” —The Financial Times This long-awaited successor to Daniel Yergin’s Pulitzer Prize-winning The Prize provides an essential, overarching narrative of global energy, the principal engine of geopoliti...",9780143121947,,The Quest_168.jpg
Disrupters,Dr. Patti Fletcher,"Only 4% of women are CEOs and women make up only 18% of board seats around the globe. But if all the research shows that the odds are stacked against women, what can we learn from the women who managed to reach the pinnacle of success despite the obstacles of systemic bias in corporate America? Disrupters: Success Strategies from Women Who Break the Mold explores what has enabled some women to not just break the glass ceiling but to shatter it against all odds. Dr. Patti Fletcher includes in her book first-person in-depth interviews with dozens of trailblazing women executives and board mem...",9781613083802,,Disrupters_170.jpg
Little Bets,Peter Sims,"In ""Little Bets"", leading business consultant Peter Sims turns problems on their heads and outlines a counter-intuitive path to perfection using negativity to positive effect.",9781439170434,,Little Bets_177.jpg
Strategic Market Research,Anne E. Beall,"For a company to embrace market research as a facilitator of change, it must be willing to take the approach that makes the most impact on its organization. That approach is the key in making a difference using market research. In this guide, author Anne Beall shares her unique procedure for conducting strategic market research. With more than fifteen years of experience in conducting market research, Beall details the strategic principles she has developed that impact the way in which market research can inspire and change an organization. Strategic Market Research discusses identifying th...",9781936236176,,Strategic Market Research_178.jpg
How Customers Think,Gerald Zaltman,"Despite the time and money spent on market research, 60% to 80% of new offerings fail.",1578518261,,How Customers Think_179.jpg
The Hungry Gene,Ellen Ruppel Shell,"""The Hungry Gene"" reveals the secret history and subtle politics behind the explosion of obesity in the United States and around the world.",0802140335,,The Hungry Gene_181.jpg
Hyperlocal,"Jennifer S. Vey, Nate Storring","An examination of how the (hyper)local is the locus of real change Many of America’s downtowns, waterfronts, and innovation districts have experienced significant revitalization and reinvestment in recent years, but concentrated poverty and racial segregation remain persistent across thousands of urban, suburban, and rural neighborhoods. The coronavirus pandemic magnified this sustained and growing landscape of inequality. Uneven patterns of economic growth and investment require a shift in how communities are governed and managed. This shift must take into account the changing socioeconomi...",9780815741404,,Hyperlocal_182.jpg
The Art of Woo,"G. Richard Shell, Mario Moussa","You may need The Art of War to defeat your enemies, but if you prefer to win them over, read The Art of Woo G. Richard Shell and Mario Moussa know what it takes to drive new ideas through complex organizations. They have advised thousands of executives from companies such as Google, Microsoft, and General Electric to organizations like the World Bank and even the FBI's hostage rescue training program. In The Art of Woo, they present their systematic, four- step process for winning over even the toughest bosses and most skeptical colleagues. Beginning with two powerful self-assessments to he...",9781101202517,,The Art of Woo_183.jpg
Sidewalk,Mitchell Duneier,"Presents the lives of poor African-American men who make their subsistence wages by selling used goods on the streets of Greenwich Village in New York; and discusses how they interact with passing pedestrians, police officers, and each other.",9780374263553,,Sidewalk_184.jpg
The Power of Inclusion,"Michael C. Hyter, Judith L. Turnock","There is an enormous amount of wasted potential within organizations today because most do not adequately tap in to the wealth of human capital available to them. Most organizations believe that they are meritocracies, but that is a myth that masks the real situation of unequal opportunity that exists in most firms. Exclusionary tendencies are built into leadership, management, and human resources practices that perpetuate unequal opportunity. Most companies “sort and select,” hiring others most like themselves, and focus training and development on those who are identified as high potentia...",9780470739594,,The Power of Inclusion_185.jpg
Lecturing Birds on Flying,Pablo Triana,"LECTURING BIRDS ON FLYING For the past few decades, the financial world has often displayed an unreasonable willingness to believe that ""the model is right, the market is wrong,"" in spite of the fact that these theoretical machinations were largely responsible for the stock market crash of 1987, the LTCM crisis of 1998, the credit crisis of 2008, and many other blow-ups, large and small. Why have both financial insiders (traders, risk managers, executives) and outsiders (academics, journalists, regulators, the public) consistently demonstrated a willingness to treat quantifications as gospe...",9780470406755,,Lecturing Birds on Flying_187.jpg
Lecturing Birds on Flying,Pablo Triana,"LECTURING BIRDS ON FLYING For the past few decades, the financial world has often displayed an unreasonable willingness to believe that ""the model is right, the market is wrong,"" in spite of the fact that these theoretical machinations were largely responsible for the stock market crash of 1987, the LTCM crisis of 1998, the credit crisis of 2008, and many other blow-ups, large and small. Why have both financial insiders (traders, risk managers, executives) and outsiders (academics, journalists, regulators, the public) consistently demonstrated a willingness to treat quantifications as gospe...",9780470406755,,Lecturing Birds on Flying_188.jpg
The Price of Everything,Eduardo Porter,"""Porter's work out to ring up the audience for Steven Levitt's Freakonomics."" -Booklist Many of the prices we pay seem to make little sense. We shell out $2.29 for coffee at Starbucks when a nearly identical brew can be had at the corner deli for less than a dollar. We may be less willing to give blood for $25 than to donate it for free. And we pay someone to cart away trash that would be a valuable commodity in poorer parts of the world. The Price of Everything starts with a simple premise: there is a price behind each choice, whether we're deciding to have a baby, drive a car, or buy a bo...",9781591844273,,The Price of Everything_189.jpg
Catalog of Copyright Entries. Third Series,Library of Congress. Copyright Office,No description available.,,,Catalog of Copyright Entries Third Series_190.jpg
The Truth about Money,Ric Edelman,"Explaining difficult concepts in plain English with a breezy style, this third edition has new material covering new tax laws, retirement savings strategies, a chapter on identity theft, and question-and-answer sidebars.",1594861641,,The Truth about Money_191.jpg
Selling America Short,Richard C. Sauer,"An industry insider reveals the inner workings of our financial system and the agencies who attempt to control it During his dozen years as an SEC attorney, author Richard Sauer opened and supervised some of its most notable financial cases-investigations that took him to a dozen countries and returned hundreds of millions of dollars to American investors. While a partner at a major law firm and, later, a hedge fund manager, he saw firsthand the follies and failures of our system. Now, in Selling America Short, he shares his extraordinary experiences with you. Selling America Short is a gri...",0470582111,,Selling America Short_192.jpg
Made to Stick,"Chip Heath, Dan Heath","Focusing on successful marketing campaigns and undying urban legends, this book is written for anyone who strives to craft messages that are memorable and lasting.",9780099505693,,Made to Stick_194.jpg
Personal Connections in the Digital Age,Nancy K. Baym,"The internet and the mobile phone have disrupted many of our conventional understandings of our selves and our relationships, raising anxieties and hopes about their effects on our lives. This timely and vibrant book provides frameworks for thinking critically about the roles of digital media in personal relationships. Rather than providing exuberant accounts or cautionary tales, it offers a data-grounded primer on how to make sense of these important changes in relational life. The book identifies the core relational issues these media disturb and shows how the ways we talk about them echo...",9780745656199,,Personal Connections in the Digital Age_195.jpg
Consequential Strangers: Turning Everyday Encounters Into Life-Changing Moments,"Melinda Blau, Karen L. Fingerman",Self-Help.,9780393338454,,Consequential Strangers Turning Everyday Encounter_196.jpg
The Better Angels of Our Nature,Steven Pinker,"Faced with the ceaseless stream of news about war, crime, and terrorism, one could easily think this is the most violent age ever seen. Yet as bestselling author Pinker shows in this startling and engaging new work, just the opposite is true.",9780143122012,,The Better Angels of Our Nature_197.jpg
The Power of Writing in Organizations,"Anne-Laure Fayard, Anca Metiu","This book demonstrates the power of writing in informal and formal organizations in the past and the present. It shows how writing, despite long lasting criticisms that can be traced back to Plato, and in spite of its frequent definition as a mere recording medium is in fact a creative mode of communication that supports the expression of emotions, the developing knowledge, and the building of strong communities among faraway individuals. The first part of the book illustrates how this has been true historically. The focus on writing as a fundamental mode of communication - the other being ...",9780415882569,,The Power of Writing in Organizations_198.jpg
Leadership Without Easy Answers,Ronald A. Heifetz,"Drawing on a dozen years of research among managers, officers, and politicians in the public realm and the private sector, among the nonprofits, and in teaching, Heifetz presents clear, concrete prescriptions for anyone who needs to take the lead in almost any situation, under almost any organizational conditions, no matter who is in charge.",9780674038479,,Leadership Without Easy Answers_199.jpg
World as Laboratory,Rebecca Lemov,"Deeply researched, World as Laboratory tells a secret history that's not really a secret. The fruits of human engineering are all around us: advertising, polls, focus groups, the ubiquitous habit of ""spin"" practiced by marketers and politicians. What Rebecca Lemov cleverly traces for the first time is how the absurd, the practical, and the dangerous experiments of the human engineers of the first half of the twentieth century left their laboratories to become our day-to-day reality.",9780374707293,,World as Laboratory_200.jpg
Total Recall,"C. Gordon Bell, Jim Gemmell","Discusses the attempt to record an entire life digitally, an enormous undertaking requiring intense attention to detail and the development of memory-emulating technology, and the implications of this research.",0525951342,,Total Recall_201.jpg
Alone Together,Sherry Turkle,"A groundbreaking book by one of the most important thinkers of our time shows how technology is warping our social lives and our inner ones Technology has become the architect of our intimacies. Online, we fall prey to the illusion of companionship, gathering thousands of Twitter and Facebook friends, and confusing tweets and wall posts with authentic communication. But this relentless connection leads to a deep solitude. MIT professor Sherry Turkle argues that as technology ramps up, our emotional lives ramp down. Based on hundreds of interviews and with a new introduction taking us to the...",9780465022342,,Alone Together_202.jpg
The Dragons of Expectation,Robert Conquest,"The publication of The Dragons of Expectation in 2005 reaffirmed Robert Conquest's stature as a leading intellectual and one of the world's great humanists. In the tradition of Isaiah Berlin's The Crooked Timber of Humanity and George Orwell's Essays, this book brilliantly traces how seductive ideas have come to corrupt modern minds; to often disastrous effects. In what Publishers Weekly called ""a frontal assault on the pieties of the left,"" Conquest masterfully examines how false nostrums have infected academia, politicians, and the public, showing how their reliance on ""isms"" and the dest...",0393059332,,The Dragons of Expectation_203.jpg
Flying Kites,Gautam N Ramachandran,"Neelakantan Ramachandran (1939-2015) was one of the pioneers in the field of Military Psychology with particular contributions for Naval personnel. He started his career in Defence Institute of Psychological Research (DIPR) and retired as Chief of Naval Psychological Research Unit (NPRU) in Kochi, Kerala, which was field detachment of DIPR. He has also served in the Service Selection Board, selecting potential officers for Army, Navy and Air Force. He was a Scientist who was clear in his concepts, precise in his expression and firm in his actions. He is my father. While he was the quintesse...",9789354906985,,Flying Kites_204.jpg
Eve's Seed,Robert S. McElvaine,"In Eve's Seed, McElvaine bridges the gap between evolutionary biology and history to create a new approach he terms biohistory.""--BOOK JACKET.",0071355286,,Eves Seed_205.jpg
